"","name","liaison","ownership_structure","capacity","independent_booking","events_per_month","years_operating","funding_source","interdisciplinarity","event_promotion","purpose","community_focus","creativity","experimentation","threats_neighbors","threats_cost","threats_licensing","description","contact_name","contact_email","contact_telephone","address","street","genre","venueType_club","venueType_disco","venueType_openAir","venueType_concertHall","venueType_theater","venueType_cinema","venueType_musicBar","venueType_gallery","venueType_restaurant","venueType_warehouse","venueType_arena","venueType_shop","venueType_studio","address_admin","APN","url","zip","county","city","y","x"
"1","Example Venue","Marcus Dowling","1","200","3","4","4","2","1","2","4","4",4,"3",0,1,0,"A venue - I use info I made up that presumes to be the Station Inn to fill in the info here","John Doe","johndoe@gmail.com","123-456-78090","402 12TH AVE S","12TH AVE S","",0,0,0,1,"0",0,1,0,0,0,0,0,0,"402 12TH AVE S","09313058100","examplevenue.com",37203,"Davidson","Nashville",36.1525861232894,-86.7844400713344
"2","12 South Taproom & Grill","","3. Information unavailable","","4. Information unavailable","1. 1-4 Events per month","1. 0-3 Years","4. Mixed/all of the above","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely",NA,"2. Not too likely",0,0,0,"Down-home alehouse decked with retro posters offering dozens of craft brews, pub grub & live music.","","
info@12southtaproom.com","(615) 463-7552","","","No Genre Specifed",0,0,0,0,"0",0,0,0,0,0,0,0,0,"2318 12TH AVE S","10513021100","https://www.12southtaproom.com/",37204,"Davidson","Nashville",36.126469479008,-86.7888474802272
"3","3rd & Lindsley","Adrianna Flax","1. Yes","500","3. Never","4. 20+ Events per month","4. 20+ Years","1. Ticket sales","1.Not At All Likely","4. Very Likely","4. Very Likely","2. Not too likely",NA,"3. Somewhat likely",0,0,0,"A local favorite, 3rd & Lindsley hosts musical acts from around town and around the world. 3rd & Lindsley is located in Nashville's Sobro neighborhood, meaning it's south of Lower Broadway. 3rd and Lindsley hosts local, regional and national acts.","","breanna@3rdandlindsley.com","(615) 259-9891","","","No Genre Specifed",0,0,0,1,"0",0,0,0,1,1,0,0,0,"805 PRESIDENT RONALD REAGAN WAY","09315006000","https://www.3rdandlindsley.com/",37210,"Davidson","Nashville",36.1525851841034,-86.7697789080943
"4","404 Bar & Grill","","1. Yes","150","4. Information unavailable","2. 5-10 Events per month","","4. Mixed/all of the above","1.Not At All Likely","3. Somewhat likely","3. Somewhat likely","2. Not too likely",NA,"1.Not At All Likely",0,0,0,"A hip atmosphere with diverse menu choices","","info@404barandgrill.com","(615) 331-8944","","","No Genre Specifed",0,0,0,0,"0",0,0,0,0,0,0,0,0,"404 ELYSIAN FIELDS RD","13314008900","No website available",37211,"Davidson","Nashville",36.0867459635385,-86.7311009742086
"5","6th and Peabody","","3. Information unavailable","","2. Sometimes","2. 5-10 Events per month","","4. Mixed/all of the above","1.Not At All Likely","1.Not At All Likely","2. Not too likely","2. Not too likely",NA,"2. Not too likely",0,0,0,"Beer Garden with Brewery and Live Music","","nash@osdistillery.com","(615) 647-8272","","","No Genre Specifed",0,0,0,0,"0",0,0,0,0,0,0,0,0,"423 6TH AVE S","09310018800","https://6thandpeabody.com/",37203,"Davidson","Nashville",36.1549571127237,-86.7770779937017
"6","Acme Feed & Seed","Marcus Dowling","3. Information unavailable","500","4. Information unavailable","4. 20+ Events per month","2. 3-10 Years","4. Mixed/all of the above","1.Not At All Likely","3. Somewhat likely","3. Somewhat likely","2. Not too likely",NA,"1.Not At All Likely",0,0,0,"Multilevel venue with creative cuisine, cocktails, live music & special events plus a rooftop patio, dedicated to preserving Nashville's unique cultural and musical legacy, identity, and community","","marketing@theacmenashville.com","(615) 915-0888","","","No Genre Specifed",0,0,0,0,"0",0,0,0,0,0,0,0,0,"101 BROADWAY","09306210200","https://www.acmefeedandseed.com/",37201,"Davidson","Nashville",36.1618880861058,-86.7743178542158
"7","AJ's Good Time Bar","Marcus Dowling","3. Information unavailable","455","4. Information unavailable","2. 5-10 Events per month","2. 3-10 Years","4. Mixed/all of the above","1.Not At All Likely","3. Somewhat likely","3. Somewhat likely","2. Not too likely",NA,"1.Not At All Likely",0,0,0,"American singer Alan Jackson's urban honky-tonk offers 3 floors, live country music & a rooftop bar.","","info@ajsgoodtimebar.com","(615) 678-4808","","","Country",0,0,0,1,"0",0,1,0,0,0,0,0,0,"421 BROADWAY","09306310800","https://www.ajsgoodtimebar.com/",37203,"Davidson","Nashville",36.1604318720598,-86.777814255199
"8","Alley Taps","","3. Information unavailable","Null","4. Information unavailable","","1. 0-3 Years","","1.Not At All Likely","1.Not At All Likely","3. Somewhat likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"A Nashville speakeasy tucked into the heart of historic Printers Alley hosting live music, offering draft beers","","info@alleytaps.com","(615) 922-2757","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"162 4TH AVE N 205","093061F20500CO","https://www.alleytapsnashville.com/",37201,"Davidson","Nashville",36.1635645989078,-86.7781997526628
"9","Aloft Nashville West End","","1. Yes","Null","4. Information unavailable","","","","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"Loft-inspired hotel close to the downtown bar & music scene featuring live music in the hotel bar.","","","(615) 329-4200","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"1719 WEST END AVE","09216017400","https://www.marriott.com/en-us/hotels/bnawl-aloft-nashville-west-end/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0",37203,"Davidson","Nashville",36.152661945071,-86.795413048273
"10","American Legion Post 82","Marcus Dowling","3. Information unavailable","120","4. Information unavailable","3. 11-20 Events per month","1. 0-3 Years","4. Mixed/all of the above","1.Not At All Likely","3. Somewhat likely","3. Somewhat likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"American Legion Post, a veterans organization, that hosts nightly music events","","","(615) 228-3598","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"3204 GALLATIN PIKE","07206025400","https://www.post82.org/",37216,"Davidson","Nashville",36.2058088622012,-86.7356558300848
"11","Analog at Hutton Hotel","Eric Holt","3. Information unavailable","300","4. Information unavailable","3. 11-20 Events per month","","","2. Not too likely","3. Somewhat likely","4. Very Likely","2. Not too likely",NA,"1.Not At All Likely",0,0,0,"Cocktail lounge and club that features live music and entertainment in the Hutten Hotel. Their entertainment ranges from established acts and discovery concerts for up and coming artists.","","analog@huttonhotel.com","(615) 340-9333","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"1808 WEST END AVE","09216043400","https://www.analognashville.com/?utm_source=local-listings&utm_medium=organic&utm_campaign=local-listings",37203,"Davidson","Nashville",36.1528693144705,-86.7970821692225
"12","Andrew Jackson Hall-TPAC","Adrianna Flax","2. No","2472","3. Never","3. 11-20 Events per month","4. 20+ Years","1. Ticket sales","4. Very Likely","4. Very Likely","4. Very Likely","2. Not too likely",NA,"3. Somewhat likely",0,0,0,"A spacious proscenium theater with an orchestra shell and pit seating, this hall is the largest space in the TN Performing Arts Center,","","","(615) 782-4040","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"301 REP JOHN LEWIS WAY N","09302300700","https://www.tpac.org/rentals/andrew-jackson-hall/",37243,"Davidson","Nashville",36.1646166767854,-86.7819039446746
"13","Anzie Blue","Eric Holt","1. Yes","","4. Information unavailable","2. 5-10 Events per month","1. 0-3 Years","4. Mixed/all of the above","2. Not too likely","3. Somewhat likely","3. Somewhat likely","3. Somewhat likely",NA,"1.Not At All Likely",0,0,0,"New Live Events Venue","Marcie Allen","marcie@macpresents.com","","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"1803 21ST AVE S","10412000300","https://www.anzieblue.com/",NA,"","",36.1364272787782,-86.8016305069792
